Los Angeles, California, Average Temperature
199008,68.6,-0.4
199009,69.9,1.7
199010,68.5,3.6
199011,63.1,3.1
199012,55.7,-0.1
199101,56.2,1.4
199102,58.8,2.8
199103,53.9,-2.7
199104,60.0,1.0
199105,59.3,-2.1
199106,62.9,-1.6
199107,66.0,-1.8
199108,67.9,-1.1
199109,66.7,-1.5
199110,66.3,1.4
199111,62.3,2.3
199112,57.6,1.8
199201,57.4,2.6
199202,59.8,3.8
199203,58.1,1.5
199204,64.6,5.6
199205,65.0,3.6
199206,64.9,0.4
199207,70.4,2.6
199208,72.4,3.4
199209,69.7,1.5
199210,65.9,1.0
199211,62.6,2.6
199212,54.8,-1.0
199301,55.1,0.3
199302,56.0,0.0
199303,59.4,2.8
199304,61.7,2.7
199305,64.1,2.7
199306,67.2,2.7
199307,68.5,0.7
199308,68.4,-0.6
199309,68.0,-0.2
199310,67.4,2.5
199311,62.5,2.5
199312,57.4,1.6
199401,58.1,3.3
199402,56.0,0.0
199403,59.7,3.1
199404,59.2,0.2
199405,60.9,-0.5
199406,67.2,2.7
199407,66.8,-1.0
199408,73.7,4.7
199409,69.6,1.4
199410,65.8,0.9
199411,56.8,-3.2
199412,56.5,0.7
199501,55.8,1.0
199502,60.6,4.6
199503,59.0,2.4
199504,59.5,0.5
199505,59.3,-2.1
199506,63.3,-1.2
199507,67.2,-0.6
199508,67.9,-1.1
199509,69.7,1.5
199510,66.3,1.4
199511,61.8,1.8
199512,57.9,2.1
199601,57.1,2.3
199602,57.2,1.2
199603,59.1,2.5
199604,63.1,4.1
199605,64.8,3.4
199606,66.3,1.8
199607,68.5,0.7
199608,72.2,3.2
199609,68.1,-0.1
199610,62.8,-2.1
199611,61.1,1.1
199612,57.1,1.3
199701,56.2,1.4
199702,57.6,1.6
199703,60.0,3.4
199704,60.9,1.9
199705,67.9,6.5
199706,67.7,3.2
199707,68.0,0.2
199708,71.1,2.1
199709,73.6,5.4
199710,67.4,2.5
199711,62.9,2.9
199712,57.1,1.3
199801,56.7,1.9
199802,55.4,-0.6
199803,58.6,2.0
199804,57.8,-1.2
199805,60.5,-0.9
199806,64.1,-0.4
199807,69.2,1.4
199808,71.9,2.9
199809,69.3,1.1
199810,64.9,0.0
199811,59.4,-0.6
199812,55.9,0.1
199901,56.8,2.0
199902,56.0,0.0
199903,54.2,-2.4
199904,56.5,-2.5
199905,60.8,-0.6
199906,63.3,-1.2
199907,68.1,0.3
199908,68.4,-0.6
199909,67.5,-0.7
199910,67.7,2.8
199911,60.2,0.2
199912,58.8,3.0
200001,58.1,3.3
200002,57.4,1.4
200003,57.6,1.0
200004,60.6,1.6
200005,63.9,2.5
200006,67.6,3.1
200007,68.3,0.5
200008,70.4,1.4
200009,69.3,1.1
200010,63.3,-1.6
200011,57.8,-2.2
200012,58.1,2.3
200101,54.6,-0.2
200102,53.8,-2.2
200103,57.5,0.9
200104,56.7,-2.3
200105,63.6,2.2
200106,67.0,2.5
200107,67.5,-0.3
200108,68.0,-1.0
200109,67.5,-0.7
200110,64.8,-0.1
200111,60.3,0.3
200112,55.3,-0.5
200201,55.1,0.3
200202,58.5,2.5
200203,57.7,1.1
200204,58.6,-0.4
200205,61.5,0.1
200206,65.4,0.9
200207,68.1,0.3
200208,67.2,-1.8
200209,67.2,-1.0
200210,62.4,-2.5
200211,63.4,3.4
200212,56.0,0.2
200301,61.8,7.0
200302,57.7,1.7
200303,58.8,2.2
200304,58.0,-1.0
200305,60.7,-0.7
200306,64.8,0.3
200307,71.1,3.3
200308,70.7,1.7
200309,67.5,-0.7
200310,67.1,2.2
200311,59.3,-0.7
200312,56.4,0.6
200401,56.5,1.7
200402,55.3,-0.7
200403,60.7,4.1
200404,61.7,2.7
200405,66.3,4.9
200406,66.5,2.0
200407,69.0,1.2
200408,69.0,0.0
200409,72.2,4.0
200410,63.3,-1.6
200411,58.6,-1.4
200412,56.9,1.1
200501,57.1,2.3
200502,57.8,1.8
200503,58.2,1.6
200504,59.6,0.6
200505,63.6,2.2
200506,64.6,0.1
200507,68.3,0.5
200508,69.3,0.3
200509,67.2,-1.0
200510,64.6,-0.3
200511,63.5,3.5
200512,58.7,2.9
200601,57.8,3.0
200602,58.6,2.6
200603,54.4,-2.2
200604,59.0,0.0
200605,64.1,2.7
200606,69.2,4.7
200607,74.2,6.4
200608,70.8,1.8
200609,68.8,0.6
200610,65.9,1.0
200611,63.6,3.6
200612,57.3,1.5
200701,54.5,-0.3
200702,57.5,1.5
200703,60.0,3.4
200704,60.1,1.1
200705,62.1,0.7
200706,64.8,0.3
200707,69.9,2.1
200708,71.3,2.3
200709,68.3,0.1
200710,66.3,1.4
200711,61.5,1.5
200712,55.8,0.0
200801,55.9,1.1
200802,56.8,0.8
200803,60.1,3.5
200804,62.7,3.7
200805,64.1,2.7
200806,68.4,3.9
200807,69.8,2.0
200808,70.0,1.0
200809,68.6,0.4
200810,68.9,4.0
200811,64.0,4.0
200812,54.9,-0.9
200901,60.1,5.3
200902,56.2,0.2
200903,57.7,1.1
200904,60.2,1.2
200905,63.9,2.5
200906,65.0,0.5
200907,68.4,0.6
200908,68.8,-0.2
200909,69.9,1.7
200910,65.0,0.1
200911,61.5,1.5
200912,56.2,0.4
201001,58.4,3.6
201002,57.5,1.5
201003,59.8,3.2
201004,58.5,-0.5
201005,61.0,-0.4
201006,64.6,0.1
201007,65.7,-2.1
201008,65.8,-3.2
201009,66.8,-1.4
201010,65.6,0.7
201011,61.4,1.4
201012,58.2,2.4
201101,59.2,4.4
201102,55.3,-0.7
201103,57.9,1.3
201104,61.8,2.8
201105,62.4,1.0
201106,63.8,-0.7
201107,68.3,0.5
201108,67.6,-1.4
201109,66.9,-1.3
201110,64.5,-0.4
201111,59.1,-0.9
201112,55.0,-0.8
201201,59.4,4.6
201202,57.1,1.1
201203,57.1,0.5
201204,59.7,0.7
201205,63.0,1.6
201206,65.3,0.8
201207,66.6,-1.2
201208,72.2,3.2
201209,72.2,4.0
201210,69.0,4.1
201211,62.7,2.7
201212,56.6,0.8
201301,56.5,1.7
201302,56.1,0.1
201303,59.2,2.6
201304,62.1,3.1
201305,66.5,5.1
201306,67.9,3.4
201307,69.0,1.2
201308,68.6,-0.4
201309,70.2,2.0
201310,65.7,0.8
201311,64.1,4.1
201312,59.0,3.2
201401,61.3,6.5
201402,59.7,3.7
201403,62.4,5.8
201404,62.6,3.6
201405,68.9,7.5
201406,67.6,3.1
201407,71.8,4.0
201408,71.2,2.2
201409,73.0,4.8
201410,70.0,5.1
201411,64.9,4.9
201412,58.2,2.4
201501,59.8,5.0
201502,61.0,5.0
201503,64.5,7.9
201504,62.2,3.2
201505,61.0,-0.4
201506,66.3,1.8
201507,70.3,2.5
201508,72.8,3.8
201509,75.1,6.9
201510,74.0,9.1
201511,62.2,2.2
201512,57.3,1.5
201601,57.0,2.2
201602,63.0,7.0
201603,60.5,3.9
201604,63.5,4.5
201605,62.8,1.4
201606,67.2,2.7
201607,71.7,3.9
201608,70.6,1.6
201609,71.1,2.9
201610,68.3,3.4
201611,64.8,4.8
201612,58.1,2.3
201701,55.8,1.0
201702,57.2,1.2
201703,61.0,4.4
201704,63.6,4.6
201705,63.3,1.9
201706,66.7,2.2
201707,71.7,3.9
201708,72.0,3.0
201709,71.5,3.3
201710,71.5,6.6
201711,65.5,5.5
201712,61.4,5.6
201801,61.9,7.1
201802,58.4,2.4
201803,58.7,2.1
201804,62.0,3.0
201805,62.9,1.5
201806,67.1,2.6
201807,74.5,6.7
201808,74.8,5.8
201809,70.1,1.9
201810,68.7,3.8
201811,65.0,5.0
201812,58.7,2.9
201901,57.5,2.7
201902,53.6,-2.4
201903,59.5,2.9
201904,62.7,3.7
201905,62.1,0.7
201906,66.5,2.0
201907,69.4,1.6
201908,70.5,1.5
201909,73.4,5.2
201910,70.1,5.2
201911,63.6,3.6
201912,58.8,3.0
